"","RMSE","MAE","MAPE"
"GMM",21233.7292861001,10480.40156875,30.0707836480211
"RandomForest",63533.8929712667,25616.3495834271,733.093334117399
"XGBoost",64536.0249765472,26612.0895780551,1679.26113680083
"LASSO",71958.7876648941,37307.5796817069,1229.49124532045
